schema_name,function_name,identity_arguments,owner_name,security_definer,volatility,function_config,acl,anon_execute,authenticated_execute,service_role_execute,definition
public,get_admin_review_consensus,,postgres,true,s,"[""search_path=\""\""""]","{postgres=X/postgres,authenticated=X/postgres}",false,true,false,"CREATE OR REPLACE FUNCTION public.get_admin_review_consensus()
 RETURNS TABLE(target_type text, target_id text, question_id text, review_count integer, removed_votes jsonb, additional_votes jsonb, published_misconception_ids text[], published_at timestamp with time zone, baseline_misconception_ids text[], baseline_synced_at timestamp with time zone)
 LANGUAGE sql
 STABLE SECURITY DEFINER
 SET search_path TO ''
AS $function$
  with question_targets as (
    select
      'question'::text as target_type,
      review.question_id as target_id,
      review.question_id,
      pg_catalog.count(distinct review.reviewer_id)::integer as review_count
    from public.question_reviews as review
    join public.question_misconception_baselines as baseline
      on baseline.question_id = review.question_id
     and baseline.source_version = review.source_version
    where review.is_active = true
    group by review.question_id
  ),
  question_removed as (
    select
      review.question_id as target_id,
      pg_catalog.btrim(value.id) as id,
      pg_catalog.count(distinct review.reviewer_id)::integer as votes
    from public.question_reviews as review
    join public.question_misconception_baselines as baseline
      on baseline.question_id = review.question_id
     and baseline.source_version = review.source_version
    cross join lateral pg_catalog.unnest(review.removed_misconception_ids) as value(id)
    where review.is_active = true
      and review.has_incorrect_misconceptions
      and pg_catalog.length(pg_catalog.btrim(value.id)) > 0
    group by review.question_id, pg_catalog.btrim(value.id)
  ),
  question_added as (
    select
      review.question_id as target_id,
      pg_catalog.btrim(value.id) as id,
      pg_catalog.count(distinct review.reviewer_id)::integer as votes
    from public.question_reviews as review
    join public.question_misconception_baselines as baseline
      on baseline.question_id = review.question_id
     and baseline.source_version = review.source_version
    cross join lateral pg_catalog.unnest(review.additional_misconception_ids) as value(id)
    where review.is_active = true
      and review.has_additional_misconceptions
      and pg_catalog.length(pg_catalog.btrim(value.id)) > 0
    group by review.question_id, pg_catalog.btrim(value.id)
  ),
  answer_targets as (
    select
      'answer'::text as target_type,
      review.answer_id as target_id,
      pg_catalog.min(review.question_id) as question_id,
      pg_catalog.count(distinct review.reviewer_id)::integer as review_count
    from public.answer_reviews as review
    join public.answer_misconception_baselines as baseline
      on baseline.answer_id = review.answer_id
     and baseline.source_version = review.source_version
    where review.is_active = true
    group by review.answer_id
  ),
  answer_removed as (
    select
      review.answer_id as target_id,
      pg_catalog.btrim(value.id) as id,
      pg_catalog.count(distinct review.reviewer_id)::integer as votes
    from public.answer_reviews as review
    join public.answer_misconception_baselines as baseline
      on baseline.answer_id = review.answer_id
     and baseline.source_version = review.source_version
    cross join lateral pg_catalog.unnest(review.removed_misconception_ids) as value(id)
    where review.is_active = true
      and review.has_mismatched_misconceptions
      and pg_catalog.length(pg_catalog.btrim(value.id)) > 0
    group by review.answer_id, pg_catalog.btrim(value.id)
  ),
  answer_added as (
    select
      review.answer_id as target_id,
      pg_catalog.btrim(value.id) as id,
      pg_catalog.count(distinct review.reviewer_id)::integer as votes
    from public.answer_reviews as review
    join public.answer_misconception_baselines as baseline
      on baseline.answer_id = review.answer_id
     and baseline.source_version = review.source_version
    cross join lateral pg_catalog.unnest(review.additional_misconception_ids) as value(id)
    where review.is_active = true
      and review.has_additional_misconceptions
      and pg_catalog.length(pg_catalog.btrim(value.id)) > 0
    group by review.answer_id, pg_catalog.btrim(value.id)
  )
  select
    target.target_type,
    target.target_id,
    target.question_id,
    target.review_count,
    coalesce(
      (
        select pg_catalog.jsonb_object_agg(vote.id, vote.votes order by vote.id)
        from question_removed as vote
        where vote.target_id = target.target_id
      ),
      '{}'::jsonb
    ),
    coalesce(
      (
        select pg_catalog.jsonb_object_agg(vote.id, vote.votes order by vote.id)
        from question_added as vote
        where vote.target_id = target.target_id
      ),
      '{}'::jsonb
    ),
    published.misconception_ids,
    published.published_at,
    baseline.misconception_ids,
    baseline.synced_at
  from question_targets as target
  left join public.question_misconception_overrides as published
    on published.question_id = target.target_id
  left join public.question_misconception_baselines as baseline
    on baseline.question_id = target.target_id
  where (select public.current_user_is_admin())

  union all

  select
    target.target_type,
    target.target_id,
    target.question_id,
    target.review_count,
    coalesce(
      (
        select pg_catalog.jsonb_object_agg(vote.id, vote.votes order by vote.id)
        from answer_removed as vote
        where vote.target_id = target.target_id
      ),
      '{}'::jsonb
    ),
    coalesce(
      (
        select pg_catalog.jsonb_object_agg(vote.id, vote.votes order by vote.id)
        from answer_added as vote
        where vote.target_id = target.target_id
      ),
      '{}'::jsonb
    ),
    published.misconception_ids,
    published.published_at,
    baseline.misconception_ids,
    baseline.synced_at
  from answer_targets as target
  left join public.answer_misconception_overrides as published
    on published.answer_id = target.target_id
  left join public.answer_misconception_baselines as baseline
    on baseline.answer_id = target.target_id
  where (select public.current_user_is_admin());
$function$
"
public,get_admin_reviewer_profiles,input_reviewer_ids uuid[],postgres,true,s,"[""search_path=\""\""""]","{postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}",true,true,true,"CREATE OR REPLACE FUNCTION public.get_admin_reviewer_profiles(input_reviewer_ids uuid[])
 RETURNS TABLE(user_id uuid, full_name text, email text)
 LANGUAGE sql
 STABLE SECURITY DEFINER
 SET search_path TO ''
AS $function$
  select profile.user_id, profile.full_name, profile.email
  from public.lecturer_profiles as profile
  where (select public.current_user_is_admin())
    and profile.user_id = any(input_reviewer_ids)
    and (
      exists (
        select 1
        from public.question_reviews as question_review
        where question_review.reviewer_id = profile.user_id
      )
      or exists (
        select 1
        from public.answer_reviews as answer_review
        where answer_review.reviewer_id = profile.user_id
      )
    );
$function$
"
public,get_answer_review_counts,,postgres,true,s,"[""search_path=\""\""""]","{postgres=X/postgres,authenticated=X/postgres}",false,true,false,"CREATE OR REPLACE FUNCTION public.get_answer_review_counts()
 RETURNS TABLE(answer_id text, review_count integer, latest_updated_at timestamp with time zone)
 LANGUAGE sql
 STABLE SECURITY DEFINER
 SET search_path TO ''
AS $function$
  select
    review.answer_id,
    pg_catalog.count(distinct review.reviewer_id)::integer,
    pg_catalog.max(review.updated_at)
  from public.answer_reviews review
  join public.answer_misconception_baselines baseline
    on baseline.answer_id = review.answer_id
   and baseline.source_version = review.source_version
  where review.is_active = true
    and exists (
      select 1
      from public.lecturer_profiles profile
      where profile.user_id = (select auth.uid())
        and profile.active = true
    )
  group by review.answer_id;
$function$
"
public,get_my_review_status,,postgres,false,s,"[""search_path=\""\""""]","{postgres=X/postgres,authenticated=X/postgres}",false,true,false,"CREATE OR REPLACE FUNCTION public.get_my_review_status()
 RETURNS TABLE(question_ids text[], answer_ids text[], question_review_count integer, answer_review_count integer, latest_updated_at timestamp with time zone)
 LANGUAGE sql
 STABLE
 SET search_path TO ''
AS $function$
  with question_status as (
    select
      coalesce(
        array_agg(distinct question_id order by question_id),
        '{}'::text[]
      ) as question_ids,
      count(distinct question_id)::integer as review_count,
      max(updated_at) as latest_updated_at
    from public.question_reviews
    where reviewer_id = (select auth.uid())
      and is_active = true
  ),
  answer_status as (
    select
      coalesce(
        array_agg(distinct answer_id order by answer_id),
        '{}'::text[]
      ) as answer_ids,
      count(distinct answer_id)::integer as review_count,
      max(updated_at) as latest_updated_at
    from public.answer_reviews
    where reviewer_id = (select auth.uid())
      and is_active = true
  )
  select
    question_status.question_ids,
    answer_status.answer_ids,
    question_status.review_count,
    answer_status.review_count,
    greatest(
      question_status.latest_updated_at,
      answer_status.latest_updated_at
    )
  from question_status
  cross join answer_status;
$function$
"
public,get_published_master_overrides,,postgres,true,s,"[""search_path=\""\""""]","{postgres=X/postgres,anon=X/postgres,authenticated=X/postgres}",true,true,false,"CREATE OR REPLACE FUNCTION public.get_published_master_overrides()
 RETURNS TABLE(question_content_overrides jsonb, answer_content_overrides jsonb, question_misconception_overrides jsonb, answer_misconception_overrides jsonb)
 LANGUAGE sql
 STABLE SECURITY DEFINER
 SET search_path TO ''
AS $function$
  select
    coalesce(
      (
        select pg_catalog.jsonb_agg(
          pg_catalog.jsonb_build_object(
            'question_id', item.question_id,
            'question_ind', item.question_ind,
            'question_en', item.question_en,
            'question_code', item.question_code,
            'updated_at', item.updated_at
          )
          order by item.question_id
        )
        from public.question_content_overrides as item
      ),
      '[]'::jsonb
    ),
    coalesce(
      (
        select pg_catalog.jsonb_agg(
          pg_catalog.jsonb_build_object(
            'answer_id', item.answer_id,
            'answer_text', item.answer_text,
            'updated_at', item.updated_at
          )
          order by item.answer_id
        )
        from public.answer_content_overrides as item
      ),
      '[]'::jsonb
    ),
    coalesce(
      (
        select pg_catalog.jsonb_agg(
          pg_catalog.jsonb_build_object(
            'question_id', item.question_id,
            'misconception_ids', item.misconception_ids,
            'published_at', item.published_at,
            'updated_at', item.updated_at
          )
          order by item.question_id
        )
        from public.question_misconception_overrides as item
      ),
      '[]'::jsonb
    ),
    coalesce(
      (
        select pg_catalog.jsonb_agg(
          pg_catalog.jsonb_build_object(
            'answer_id', item.answer_id,
            'question_id', item.question_id,
            'misconception_ids', item.misconception_ids,
            'published_at', item.published_at,
            'updated_at', item.updated_at
          )
          order by item.answer_id
        )
        from public.answer_misconception_overrides as item
      ),
      '[]'::jsonb
    );
$function$
"
public,get_question_review_counts,,postgres,true,s,"[""search_path=\""\""""]","{postgres=X/postgres,authenticated=X/postgres}",false,true,false,"CREATE OR REPLACE FUNCTION public.get_question_review_counts()
 RETURNS TABLE(question_id text, review_count integer, latest_updated_at timestamp with time zone)
 LANGUAGE sql
 STABLE SECURITY DEFINER
 SET search_path TO ''
AS $function$
  select
    review.question_id,
    pg_catalog.count(distinct review.reviewer_id)::integer as review_count,
    pg_catalog.max(review.updated_at) as latest_updated_at
  from public.question_reviews review
  join public.question_misconception_baselines baseline
    on baseline.question_id = review.question_id
   and baseline.source_version = review.source_version
  where review.is_active = true
    and exists (
      select 1
      from public.lecturer_profiles profile
      where profile.user_id = (select auth.uid())
        and profile.active = true
    )
  group by review.question_id;
$function$
"
public,prevent_repeat_lecturer_review_update,,postgres,false,v,"[""search_path=\""\""""]","{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}",true,true,true,"CREATE OR REPLACE FUNCTION public.prevent_repeat_lecturer_review_update()
 RETURNS trigger
 LANGUAGE plpgsql
 SET search_path TO ''
AS $function$
begin
  if (select auth.uid()) = old.reviewer_id then
    raise exception using
      message = 'REVIEW_ALREADY_SUBMITTED',
      errcode = 'P0001';
  end if;

  return new;
end;
$function$
"
public,publish_answer_misconception_override,input_answer_id text,postgres,true,v,"[""search_path=\""\""""]",{postgres=X/postgres},false,false,false,"CREATE OR REPLACE FUNCTION public.publish_answer_misconception_override(input_answer_id text)
 RETURNS TABLE(answer_id text, question_id text, misconception_ids text[], source_review_count integer, published_at timestamp with time zone, updated_at timestamp with time zone)
 LANGUAGE plpgsql
 SECURITY DEFINER
 SET search_path TO ''
AS $function$
declare
  normalized_answer_id text := pg_catalog.btrim(input_answer_id);
  normalized_question_id text;
  current_version uuid;
  baseline_ids text[];
  reviewer_count integer;
  reviewed_question_id text;
  reviewed_question_count integer;
  removed_ids text[];
  added_ids text[];
  invalid_added_id text;
  final_ids text[];
begin
  if not exists (
    select 1
    from public.lecturer_profiles as profile
    where profile.user_id = (select auth.uid())
      and profile.active = true
  ) or not (select public.current_user_is_admin()) then
    raise exception using message = 'ADMIN_ACCESS_REQUIRED', errcode = 'P0001';
  end if;

  if pg_catalog.length(normalized_answer_id) = 0 then
    raise exception using message = 'INVALID_TARGET_ID', errcode = '22023';
  end if;

  perform pg_catalog.pg_advisory_xact_lock(
    pg_catalog.hashtextextended('master_relation_baselines', 0)
  );
  perform pg_catalog.pg_advisory_xact_lock(
    pg_catalog.hashtextextended('answer_review:' || normalized_answer_id, 0)
  );

  select baseline.question_id, baseline.misconception_ids, baseline.source_version
    into normalized_question_id, baseline_ids, current_version
  from public.answer_misconception_baselines as baseline
  where baseline.answer_id = normalized_answer_id;

  if not found then
    raise exception using message = 'BASELINE_NOT_SYNCED', errcode = 'P0001';
  end if;

  select
    pg_catalog.count(distinct review.reviewer_id)::integer,
    pg_catalog.min(review.question_id),
    pg_catalog.count(distinct review.question_id)::integer
    into reviewer_count, reviewed_question_id, reviewed_question_count
  from public.answer_reviews as review
  where review.answer_id = normalized_answer_id
    and review.is_active = true
    and review.source_version = current_version;

  if reviewer_count <> 3 then
    raise exception using message = 'CONSENSUS_REQUIRES_THREE_REVIEWERS', errcode = 'P0001';
  end if;

  if reviewed_question_count <> 1
    or reviewed_question_id is distinct from normalized_question_id then
    raise exception using message = 'ANSWER_QUESTION_MISMATCH', errcode = '22023';
  end if;

  select
    public.normalize_text_id_array(
      array(
        select pg_catalog.btrim(value.id)
        from public.answer_reviews as review
        cross join lateral pg_catalog.unnest(
          review.removed_misconception_ids
        ) as value(id)
        where review.answer_id = normalized_answer_id
          and review.is_active = true
          and review.source_version = current_version
          and review.has_mismatched_misconceptions
          and pg_catalog.length(pg_catalog.btrim(value.id)) > 0
        group by pg_catalog.btrim(value.id)
        having pg_catalog.count(distinct review.reviewer_id) >= 2
      )
    ),
    public.normalize_text_id_array(
      array(
        select pg_catalog.btrim(value.id)
        from public.answer_reviews as review
        cross join lateral pg_catalog.unnest(
          review.additional_misconception_ids
        ) as value(id)
        where review.answer_id = normalized_answer_id
          and review.is_active = true
          and review.source_version = current_version
          and review.has_additional_misconceptions
          and pg_catalog.length(pg_catalog.btrim(value.id)) > 0
        group by pg_catalog.btrim(value.id)
        having pg_catalog.count(distinct review.reviewer_id) >= 2
      )
    )
  into removed_ids, added_ids;

  select added.id
    into invalid_added_id
  from pg_catalog.unnest(added_ids) as added(id)
  where not exists (
    select 1
    from public.master_misconception_catalog as catalog
    where catalog.misconception_id = added.id
  )
  limit 1;

  if invalid_added_id is not null then
    raise exception using message = 'INVALID_MISCONCEPTION_ID', errcode = '22023';
  end if;

  select public.normalize_text_id_array(
    array(
      select baseline.id
      from pg_catalog.unnest(baseline_ids) as baseline(id)
      where not (baseline.id = any(removed_ids))
      union
      select added.id from pg_catalog.unnest(added_ids) as added(id)
    )
  ) into final_ids;

  insert into public.answer_misconception_overrides (
    answer_id,
    question_id,
    misconception_ids,
    source_review_count,
    published_by,
    published_at,
    source_version
  )
  values (
    normalized_answer_id,
    normalized_question_id,
    final_ids,
    reviewer_count,
    (select auth.uid()),
    pg_catalog.now(),
    current_version
  )
  on conflict on constraint answer_misconception_overrides_pkey do update
  set
    question_id = excluded.question_id,
    misconception_ids = excluded.misconception_ids,
    source_review_count = excluded.source_review_count,
    published_by = excluded.published_by,
    published_at = excluded.published_at,
    source_version = excluded.source_version
  returning
    answer_misconception_overrides.answer_id,
    answer_misconception_overrides.question_id,
    answer_misconception_overrides.misconception_ids,
    answer_misconception_overrides.source_review_count,
    answer_misconception_overrides.published_at,
    answer_misconception_overrides.updated_at
  into answer_id, question_id, misconception_ids, source_review_count, published_at, updated_at;

  return next;
end;
$function$
"
public,publish_question_misconception_override,input_question_id text,postgres,true,v,"[""search_path=\""\""""]",{postgres=X/postgres},false,false,false,"CREATE OR REPLACE FUNCTION public.publish_question_misconception_override(input_question_id text)
 RETURNS TABLE(question_id text, misconception_ids text[], source_review_count integer, published_at timestamp with time zone, updated_at timestamp with time zone)
 LANGUAGE plpgsql
 SECURITY DEFINER
 SET search_path TO ''
AS $function$
declare
  normalized_question_id text := pg_catalog.btrim(input_question_id);
  current_version uuid;
  reviewer_count integer;
  baseline_ids text[];
  removed_ids text[];
  added_ids text[];
  invalid_added_id text;
  final_ids text[];
begin
  if not exists (
    select 1
    from public.lecturer_profiles as profile
    where profile.user_id = (select auth.uid())
      and profile.active = true
  ) or not (select public.current_user_is_admin()) then
    raise exception using message = 'ADMIN_ACCESS_REQUIRED', errcode = 'P0001';
  end if;

  if pg_catalog.length(normalized_question_id) = 0 then
    raise exception using message = 'INVALID_TARGET_ID', errcode = '22023';
  end if;

  perform pg_catalog.pg_advisory_xact_lock(
    pg_catalog.hashtextextended('master_relation_baselines', 0)
  );
  perform pg_catalog.pg_advisory_xact_lock(
    pg_catalog.hashtextextended('question_review:' || normalized_question_id, 0)
  );

  select baseline.misconception_ids, baseline.source_version
    into baseline_ids, current_version
  from public.question_misconception_baselines as baseline
  where baseline.question_id = normalized_question_id;

  if not found then
    raise exception using message = 'BASELINE_NOT_SYNCED', errcode = 'P0001';
  end if;

  select pg_catalog.count(distinct review.reviewer_id)::integer
    into reviewer_count
  from public.question_reviews as review
  where review.question_id = normalized_question_id
    and review.is_active = true
    and review.source_version = current_version;

  if reviewer_count <> 3 then
    raise exception using message = 'CONSENSUS_REQUIRES_THREE_REVIEWERS', errcode = 'P0001';
  end if;

  select
    public.normalize_text_id_array(
      array(
        select pg_catalog.btrim(value.id)
        from public.question_reviews as review
        cross join lateral pg_catalog.unnest(
          review.removed_misconception_ids
        ) as value(id)
        where review.question_id = normalized_question_id
          and review.is_active = true
          and review.source_version = current_version
          and review.has_incorrect_misconceptions
          and pg_catalog.length(pg_catalog.btrim(value.id)) > 0
        group by pg_catalog.btrim(value.id)
        having pg_catalog.count(distinct review.reviewer_id) >= 2
      )
    ),
    public.normalize_text_id_array(
      array(
        select pg_catalog.btrim(value.id)
        from public.question_reviews as review
        cross join lateral pg_catalog.unnest(
          review.additional_misconception_ids
        ) as value(id)
        where review.question_id = normalized_question_id
          and review.is_active = true
          and review.source_version = current_version
          and review.has_additional_misconceptions
          and pg_catalog.length(pg_catalog.btrim(value.id)) > 0
        group by pg_catalog.btrim(value.id)
        having pg_catalog.count(distinct review.reviewer_id) >= 2
      )
    )
  into removed_ids, added_ids;

  select added.id
    into invalid_added_id
  from pg_catalog.unnest(added_ids) as added(id)
  where not exists (
    select 1
    from public.master_misconception_catalog as catalog
    where catalog.misconception_id = added.id
  )
  limit 1;

  if invalid_added_id is not null then
    raise exception using message = 'INVALID_MISCONCEPTION_ID', errcode = '22023';
  end if;

  select public.normalize_text_id_array(
    array(
      select baseline.id
      from pg_catalog.unnest(baseline_ids) as baseline(id)
      where not (baseline.id = any(removed_ids))
      union
      select added.id from pg_catalog.unnest(added_ids) as added(id)
    )
  ) into final_ids;

  insert into public.question_misconception_overrides (
    question_id,
    misconception_ids,
    source_review_count,
    published_by,
    published_at,
    source_version
  )
  values (
    normalized_question_id,
    final_ids,
    reviewer_count,
    (select auth.uid()),
    pg_catalog.now(),
    current_version
  )
  on conflict on constraint question_misconception_overrides_pkey do update
  set
    misconception_ids = excluded.misconception_ids,
    source_review_count = excluded.source_review_count,
    published_by = excluded.published_by,
    published_at = excluded.published_at,
    source_version = excluded.source_version
  returning
    question_misconception_overrides.question_id,
    question_misconception_overrides.misconception_ids,
    question_misconception_overrides.source_review_count,
    question_misconception_overrides.published_at,
    question_misconception_overrides.updated_at
  into question_id, misconception_ids, source_review_count, published_at, updated_at;

  return next;
end;
$function$
"
public,reset_question_reviews_v3,"p_question_id text, p_source_version uuid",postgres,true,v,"[""search_path=\""\""""]","{postgres=X/postgres,authenticated=X/postgres}",false,true,false,"CREATE OR REPLACE FUNCTION public.reset_question_reviews_v3(p_question_id text, p_source_version uuid)
 RETURNS jsonb
 LANGUAGE plpgsql
 SECURITY DEFINER
 SET search_path TO ''
AS $function$
declare
  caller_id uuid := auth.uid();
  target_id text := pg_catalog.btrim(coalesce(p_question_id, ''));
  question_current_version uuid;
  reviews_reset integer := 0;
  reviewers_reset integer := 0;
  override_existed boolean := false;
  override_removed boolean := false;
  question_consensus jsonb;
begin
  if caller_id is null then
    raise exception using message = 'AUTH_REQUIRED', errcode = 'P0001';
  end if;

  if pg_catalog.length(target_id) = 0 then
    raise exception using message = 'INVALID_TARGET_ID', errcode = '22023';
  end if;

  if not exists (
    select 1
    from public.lecturer_profiles profile
    where profile.user_id = caller_id
      and profile.active = true
  ) or not (select public.current_user_is_admin()) then
    raise exception using message = 'ADMIN_ACCESS_REQUIRED', errcode = 'P0001';
  end if;

  -- Serialise against sync_master_relation_baselines_v2 so the question baseline
  -- version cannot change between the snapshot and the writes.
  perform pg_catalog.pg_advisory_xact_lock(
    pg_catalog.hashtextextended('master_relation_baselines', 0)
  );

  select baseline.source_version
  into question_current_version
  from public.question_misconception_baselines baseline
  where baseline.question_id = target_id
  for update;

  if not found then
    raise exception using message = 'QUESTION_NOT_FOUND', errcode = 'P0001';
  end if;

  if question_current_version is distinct from p_source_version then
    raise exception using message = 'DATA_VERSION_CHANGED', errcode = 'P0001';
  end if;

  select exists (
    select 1
    from public.question_misconception_overrides override_row
    where override_row.question_id = target_id
  )
  into override_existed;

  -- Deactivate every reviewer's active current-version Question Review for this
  -- one question. Never filtered by auth.uid(). Already-inactive rows and other
  -- question ids are untouched. Legacy Answer Reviews and answer overrides are
  -- deliberately never read or written.
  with reset_rows as (
    update public.question_reviews review
    set
      is_active = false,
      inactive_reason = 'deleted',
      inactive_at = pg_catalog.now()
    where review.question_id = target_id
      and review.source_version = question_current_version
      and review.is_active = true
    returning review.reviewer_id
  )
  select
    pg_catalog.count(*)::integer,
    pg_catalog.count(distinct reset_rows.reviewer_id)::integer
  into reviews_reset, reviewers_reset
  from reset_rows;

  -- Recompute ONLY question consensus. With the active reviewer count now below
  -- three, recompute_question_review_consensus_v3 removes any published
  -- question_misconception_overrides row and the effective mapping reverts to
  -- the master baseline. It never touches answer consensus or answer overrides.
  question_consensus := public.recompute_question_review_consensus_v3(
    target_id,
    question_current_version
  );

  override_removed := override_existed and not exists (
    select 1
    from public.question_misconception_overrides override_row
    where override_row.question_id = target_id
  );

  return pg_catalog.jsonb_build_object(
    'question_id', target_id,
    'source_version', question_current_version,
    'reviews_reset', reviews_reset,
    'reviewers_reset', reviewers_reset,
    'override_removed', override_removed,
    'question_consensus', question_consensus
  );
end;
$function$
"
